PID,ID,Name
TA0001-Initial Access (Enterprise),T1659-Content Injection,Content Injection
TA0001-Initial Access (Enterprise),T1189-Drive-by Compromise,Drive-by Compromise
TA0001-Initial Access (Enterprise),T1659-Content Injection,Content Injection
TA0001-Initial Access (Enterprise),T1189-Drive-by Compromise,Drive-by Compromise
TA0001-Initial Access (Enterprise),T1190-Exploit Public-Facing Application,Exploit Public-Facing Application
TA0001-Initial Access (Enterprise),T1133-External Remote Services,External Remote Services
TA0001-Initial Access (Enterprise),T1200-Hardware Additions,Hardware Additions
TA0001-Initial Access (Enterprise),T1566-Phishing,Phishing
TA0001-Initial Access (Enterprise),T1566.001-Spearphishing Attachment,Spearphishing Attachment
TA0001-Initial Access (Enterprise),T1566.002-Spearphishing Link,Spearphishing Link
TA0001-Initial Access (Enterprise),T1566.003-Spearphishing via Service,Spearphishing via Service
TA0001-Initial Access (Enterprise),T1566.004-Spearphishing Voice,Spearphishing Voice
TA0001-Initial Access (Enterprise),T1091-Replication Through Removable Media,Replication Through Removable Media
TA0001-Initial Access (Enterprise),T1195-Supply Chain Compromise,Supply Chain Compromise
TA0001-Initial Access (Enterprise),T1195.001-Compromise Software Dependencies and Development Tools,Compromise Software Dependencies and Development Tools
TA0001-Initial Access (Enterprise),T1195.002-Compromise Software Supply Chain,Compromise Software Supply Chain
TA0001-Initial Access (Enterprise),T1195.003-Compromise Hardware Supply Chain,Compromise Hardware Supply Chain
TA0001-Initial Access (Enterprise),T1199-Trusted Relationships,Trusted Relationships
TA0001-Initial Access (Enterprise),T1078-Valid Accounts,Valid Accounts
TA0001-Initial Access (Enterprise),T1078.001-Default Accounts,Default Accounts
TA0001-Initial Access (Enterprise),T1078.002-Domain Accounts,Domain Accounts
TA0001-Initial Access (Enterprise),T1078.003-Local Accounts,Local Accounts
TA0001-Initial Access (Enterprise),T1078.004-Cloud Accounts,Cloud Accounts
TA0001-Initial Access (Enterprise),T1669-Wi-Fi Networks,Wi-Fi Networks
TA0003-Persistence (Enterprise),T1098-Account Manipulation,Account Manipulation
TA0003-Persistence (Enterprise),T1098.001-Additional Cloud Credentials,Additional Cloud Credentials
TA0003-Persistence (Enterprise),T1098.002-Additional Email Delegate Permissions,Additional Email Delegate Permissions
TA0003-Persistence (Enterprise),T1098.003-Additional Cloud Roles,Additional Cloud Roles
TA0003-Persistence (Enterprise),T1098.004-SSH Authorized Keys,SSH Authorized Keys
TA0003-Persistence (Enterprise),T1098.005-Device Registration,Device Registration
TA0003-Persistence (Enterprise),T1098.006-Additional Container Cluster Roles,Additional Container Cluster Roles
TA0003-Persistence (Enterprise),T1098.007-Additional Local or Domain Groups,Additional Local or Domain Groups
TA0003-Persistence (Enterprise),T1197-BITS Jobs,BITS Jobs
TA0003-Persistence (Enterprise),T1547-Boot or Logon Autostart Execution,Boot or Logon Autostart Execution
TA0003-Persistence (Enterprise),T1547.001-Registry Run Keys / Startup Folder,Registry Run Keys / Startup Folder
TA0003-Persistence (Enterprise),T1547.002-Authentication Package,Authentication Package
TA0003-Persistence (Enterprise),T1547.003-Time Providers,Time Providers
TA0003-Persistence (Enterprise),T1547.004-Winlogon Helper DLL,Winlogon Helper DLL
TA0003-Persistence (Enterprise),T1547.005-Security Support Provider,Security Support Provider
TA0003-Persistence (Enterprise),T1547.006-Kernel Modules and Extensions,Kernel Modules and Extensions
TA0003-Persistence (Enterprise),T1547.007-Re-opened Applications,Re-opened Applications
TA0003-Persistence (Enterprise),T1547.008-LSASS Driver,LSASS Driver
TA0003-Persistence (Enterprise),T1547.009-Shortcut Modification,Shortcut Modification
TA0003-Persistence (Enterprise),T1547.010-Port Monitors,Port Monitors
TA0003-Persistence (Enterprise),T1547.012-Print Processors,Print Processors
TA0003-Persistence (Enterprise),T1547.013-XDG Autostart Entries,XDG Autostart Entries
TA0003-Persistence (Enterprise),T1547.014-Active Setup,Active Setup
TA0003-Persistence (Enterprise),T1547.015-Login Items,Login Items
TA0003-Persistence (Enterprise),T1037-Boot or Logon Initialization Scripts,Boot or Logon Initialization Scripts
TA0003-Persistence (Enterprise),T1037.001-Logon Script (Windows),Logon Script (Windows)
TA0003-Persistence (Enterprise),T1037.002-Login Hook,Login Hook
TA0003-Persistence (Enterprise),T1037.003-Network Logon Script,Network Logon Script
TA0003-Persistence (Enterprise),T1037.004-RC Scripts,RC Scripts
TA0003-Persistence (Enterprise),T1037.005-Startup Items,Startup Items
TA0003-Persistence (Enterprise),T1671-Cloud Application Integration,Cloud Application Integration
TA0003-Persistence (Enterprise),T1554-Compromise Host Software Binary,Compromise Host Software Binary
TA0003-Persistence (Enterprise),T1136-Create Account,Create Account
TA0003-Persistence (Enterprise),T1136.001-Local Account,Local Account
TA0003-Persistence (Enterprise),T1136.002-Domain Account,Domain Account
TA0003-Persistence (Enterprise),T1136.003-Cloud Account,Cloud Account
TA0003-Persistence (Enterprise),T1543-Create or Modify System Process,Create or Modify System Process
TA0003-Persistence (Enterprise),T1543.001-Launch Agent,Launch Agent
TA0003-Persistence (Enterprise),T1543.002-Systemd Service,Systemd Service
TA0003-Persistence (Enterprise),T1543.003-Windows Service,Windows Service
TA0003-Persistence (Enterprise),T1543.004-Launch Daemon,Launch Daemon
TA0003-Persistence (Enterprise),T1543.005-Container Service,Container Service
TA0003-Persistence (Enterprise),T1546-Event Triggered Execution,Event Triggered Execution
TA0003-Persistence (Enterprise),T1546.001-Change Default File Association,Change Default File Association
TA0003-Persistence (Enterprise),T1546.002-Screensaver,Screensaver
TA0003-Persistence (Enterprise),T1546.003-Windows Management Instrumentation Event Subscription,Windows Management Instrumentation Event Subscription
TA0003-Persistence (Enterprise),T1546.004-Unix Shell Configuration Modification,Unix Shell Configuration Modification
TA0003-Persistence (Enterprise),T1546.005-Trap,Trap
TA0003-Persistence (Enterprise),T1546.006-LC_LOAD_DYLIB Addition,LC_LOAD_DYLIB Addition
TA0003-Persistence (Enterprise),T1546.007-Netsh Helper DLL,Netsh Helper DLL
TA0003-Persistence (Enterprise),T1546.008-Accessibility Features,Accessibility Features
TA0003-Persistence (Enterprise),T1546.009-AppCert DLLs,AppCert DLLs
TA0003-Persistence (Enterprise),T1546.010-AppInit DLLs,AppInit DLLs
TA0003-Persistence (Enterprise),T1546.011-Application Shimming,Application Shimming
TA0003-Persistence (Enterprise),T1546.012-Image File Execution Options Injection,Image File Execution Options Injection
TA0003-Persistence (Enterprise),T1546.013-PowerShell Profile,PowerShell Profile
TA0003-Persistence (Enterprise),T1546.014-Emond,Emond
